source,target,generes
Arca,Kelela,"['afrofuturism', 'alternative r&b', 'escape room', 'experimental r&b']"
Rosalia,Lele Pons,"['latin pop', 'latin viral pop', 'viral pop']"
Lele Pons,Sofía Reyes,"['latin pop', 'latin viral pop', 'mexican pop', 'reggaeton']"
Lele Pons,Guaynaa,"['reggaeton', 'reggaeton flow', 'urbano latino']"
Lele Pons,Malu Trevejo,[]
Lele Pons,Mariah Angeliq,"['rap latina', 'trap latino', 'urbano latino']"
Lele Pons,Mont,"['latin viral pop', 'urbano mexicano']"
Lele Pons,Farina,"['colombian pop', 'rap latina', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Lele Pons,Ingratax,"['concurso de talentos argentino', 'latin viral pop', 'urbano mexicano']"
Lele Pons,NATTI NATASHA,"['latin pop', 'rap latina', 'reggaeton', 'urbano latino']"
Lele Pons,Becky G,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'trap latino', 'urbano latino']"
Lele Pons,Ely Blancarte,['latin viral pop']
Lele Pons,Danna Paola,"['latin pop', 'latin viral pop', 'mexican pop']"
Lele Pons,Katia Morales,[]
Lele Pons,Kimberly Loaiza,['latin viral pop']
Lele Pons,Fénix Team,['latin viral pop']
Lele Pons,Steff,['urbano mexicano']
Lele Pons,Katie Angel,['latin viral pop']
Lele Pons,Mariana Ávila,['latin viral pop']
Lele Pons,Jukilop,[]
Lele Pons,Jd Pantoja,"['latin viral pop', 'urbano mexicano']"
Lele Pons,Sofi Mata,['urbano mexicano']
Rosalia,J Balvin,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
J Balvin,Nicky Jam,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
J Balvin,Farruko,"['reggaeton', 'trap latino', 'urbano latino']"
J Balvin,Maluma,"['latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
J Balvin,Wisin,"['reggaeton', 'urbano latino']"
J Balvin,Yandel,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
J Balvin,Zion & Lennox,"['reggaeton', 'urbano latino']"
