N.º	País	Intérprete(s)	Canción	Lugar	Puntos	#	Pts.	Intérprete
7.0	Estonia	Birgit Õigemeel	«Et uus saaks alguse»	20			19.0	
8.0	Bielorrusia	Alyona Lanskaya	«Solayoh»	16			48.0	
9.0	Malta	Gianluca Bezzina	«Tomorrow»	8			120.0	
10.0	Rusia	Dina Garipova	«What if»	5			174.0	
11.0	Alemania	Cascada	«Glorious»	21			18.0	
12.0	Armenia	Dorians	«Lonely planet»	18			41.0	
13.0	Países Bajos	Anouk	«Birds»	9			114.0	
14.0	Rumania	Cezar	«It's my life»	13			65.0	
15.0	Reino Unido	Bonnie Tyler	«Believe in me»	19			23.0	
16.0	Suecia	Robin Stjernberg	«You»	14			62.0	
17.0	Hungría	ByeAlex	«Kedvesem (Zoohacker Remix)»	10			84.0	
18.0	Dinamarca	Emmelie de Forest	«Only teardrops»	1			281.0	
19.0	Islandia	Eythor Ingi	«Ég á líf»	17			47.0	
20.0	Azerbaiyán	Farid Mammadov	«Hold me»	2			234.0	
21.0	Grecia	Koza Mostra & Agathonas Iakovidis	«Alcohol is free»	6			152.0	
22.0	Ucrania	Zlata Ognevich	«Gravity»	3			214.0	
23.0	Italia	Marco Mengoni	«L'essenziale»	7			126.0	
24.0	Noruega	Margaret Berger	«I feed you my love»	4			191.0	
25.0	Georgia	Nodi Tatishvili & Sophie Gelovani	«Waterfall»	15			50.0	
26.0	Irlanda	Ryan Dolan	«Only love survives»	26			5.0	
1.0	Ucrania	Maria Yaremchuk	«Tick-Tock»	6			113.0	
2.0	Bielorrusia	TEO	«Cheesecake»	16			43.0	
3.0	Azerbaiyán	Dilara Kazimova	«Start a Fire!»	22			33.0	
4.0	Islandia	Pollapönk	«No Prejudice»	15			58.0	
5.0	Noruega	Carl Espen	«Silent Storm»	8			88.0	
6.0	Rumanía	Paula Seling & Ovi	«Miracle»	12			72.0	
7.0	Armenia	Aram Mp3	«Not Alone»	4			174.0	
8.0	Montenegro	Sergej Ćetković	«Moj svijet»	19			37.0	
9.0	Polonia	Donatan & Cleo	«My Słowianie»	14			62.0	
10.0	Grecia	Freaky Fortune & Riskykidd	«Rise Up»	20			35.0	
11.0	Austria	Conchita Wurst	«Rise Like a Phoenix»	1			290.0	
12.0	Alemania	Elaiza	«Is It Right»	18			39.0	
13.0	Suecia	Sanna Nielsen	«Undo»	3			218.0	
14.0	Francia	Twin Twin	«Moustache»	26			2.0	
15.0	Rusia	Hermanas Tolmachovy	«Shine»	7			89.0	
16.0	Italia	Emma Marrone	«La mia città»	21			33.0	
17.0	Eslovenia	Tinkara Kovač	«Round & Round (Spet)»	25			9.0	
18.0	Finlandia	Softengine	«Something Better»	11			72.0	
19.0	España	Ruth Lorenzo	«Dancing in the rain»	10			74.0	
20.0	Suiza	Sebalter	«Hunter of Stars»	13			64.0	
21.0	Hungría	András Kállay-Saunders	«Running»	5			143.0	
22.0	Malta	Firelight	«Coming Home»	23			32.0	
23.0	Dinamarca	Basim	«Cliché Love Song»	9			74.0	
24.0	Países Bajos	The Common Linnets	«Calm After the Storm»	2			238.0	
25.0	San Marino	Valentina Monetta	«Maybe (Forse)»	24			14.0	
26.0	Reino Unido	Molly	«Children of the Universe»	17			40.0	
1.0	Eslovenia	Maraaya	«Here for you»	14			39.0	
2.0	Francia	Lisa Angell	«N'oubliez pas»	25			4.0	
3.0	Israel	Nadav Guedj	«Golden boy»	9			97.0	
4.0	Estonia	Elina Born & Stig Rästa	«Goodbye to yesterday»	7			106.0	
